##v1.0##
FDN,SUBTYPE,PATHNAME,DOMAIN,DOMAINCORREL,MNEMONIC,INDICATOR,FORMULA,COMMITMENTVALUE,COMMITMENTTHRESHOLD,EXCEPTIONTHRESHOLD,INDICATORTHRESHOLDB,INDICATORTHRESHOLDT3,MEASUREPROTOCOL,COS,ORIGINSITENAME,ORIGINFDN,ORIGINIP,DESTINATIONSITENAME,ENDFDN,TARGETIP,CORRELATIONBACKUPTYPE,VPN,NETWORKFDN,ORIGIN,ADMINADDRESS,MANUFACTURER
DI:EXP_NE.ZI:X.LIRT:OS904-CEVMS191-6-1-95-25,LIRT,,EXP_NE,EXP_NE,OS904-CEVMS191-0022RKG5-B-25,JITTERSD,,30,,,60,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CEVMS191,10.191.148.73,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CEVMS191,,128,,,,10.191.148.73,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-CEVMS191-6-2-92-22,LIRT,,EXP_NE,EXP_NE,OS904-CEVMS191-0022RKG7-B-22,JITTERSD,,50,,,100,30000,saa-jitt2,B,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CEVMS191,10.191.148.73,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CEVMS191,,128,,,,10.191.148.73,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-CEWRGIC1-5-1-20-10,LIRT,,EXP_NE,EXP_NE,OS904-CEWRGIC1-0021DRV4-10,JITTERSD,,02,,,05,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CEWRGIC1,10.191.154.201,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CEWRGIC1,,128,,,,10.191.154.201,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-4-30-10,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXDDDD-10,JITTERSD,,30,,,60,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:154-00XXDDDD,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-4-32-12,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXDDDD-12,JITTERSD,,30,,,60,30000,saa-jitt2,B,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:154-00XXDDDD,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-4-35-15,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXDDDD-15,JITTERSD,,30,,,60,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:154-00XXDDDD,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-5-30-10,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXEEEE-10,JITTERSD,,30,,,60,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:155-00XXEEEE,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-5-30-20,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXEEEE-20,JITTERSD,,30,,,60,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:155-00XXEEEE,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-5-34-14,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXEEEE-14,JITTERSD,,30,,,60,30000,saa-jitt2,C,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:155-00XXEEEE,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-5-34-24,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXEEEE-24,JITTERSD,,30,,,60,30000,saa-jitt2,C,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:155-00XXEEEE,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-5-35-15,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXEEEE-15,JITTERSD,,30,,,60,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:155-00XXEEEE,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-EAS3-5-5-35-25,LIRT,,EXP_NE,EXP_NE,OS904-EAS3-00XXEEEE-25,JITTERSD,,30,,,60,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3.L:G.N:155-00XXEEEE,10.191.191.16,,DI:EXP_NE.ZI:X.SWOMRV:OS904-EAS3,,128,,,,10.191.191.16,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-4-10-20,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXDDDD-20,JITTERSD,,30,,,60,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-4-10-30,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXDDDD-30,JITTERSD,,05,,,10,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-4-12-22,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXDDDD-22,JITTERSD,,05,,,10,30000,saa-jitt2,B,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-4-12-32,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXDDDD-32,JITTERSD,,05,,,10,30000,saa-jitt2,B,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-4-15-25,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXDDDD-25,JITTERSD,,05,,,10,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-4-15-35,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXDDDD-35,JITTERSD,,05,,,10,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-5-10-20,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXEEEE-20,JITTERSD,,05,,,10,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-5-10-30,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXEEEE-30,JITTERSD,,05,,,10,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-5-14-24,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXEEEE-24,JITTERSD,,05,,,10,30000,saa-jitt2,C,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-5-14-34,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXEEEE-34,JITTERSD,,05,,,10,30000,saa-jitt2,C,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-5-15-25,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXEEEE-25,JITTERSD,,05,,,10,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:EXP_NE.ZI:X.LIRT:OS912-EAS1-5-5-15-35,LIRT,,EXP_NE,EXP_NE,OS912-EAS1-00XXEEEE-35,JITTERSD,,05,,,10,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,10.191.164.246,,DI:EXP_NE.ZI:X.SWOMRV:OS912-EAS1,,128,,,,10.191.164.246,MRV
DI:ADPGSI_AG.ZI:X.LIRT:-2-0022GBU6-55,LIRT,,ADPGSI_AG,,A2140-NEDID--2-P2P-0022GBU6-DATA,JITTERSD,,2,,,3,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:-2-0022GBU6,10.191.125.228,,,,128,,,,10.191.125.228,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:-2-0022GBV1-64,LIRT,,ADPGSI_AG,,A2140-NESGW--2-P2P-0022GBV1-DATA,JITTERSD,,2,,,3,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:-2-0022GBV1,10.191.74.60,,,,128,,,,10.191.74.60,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:A2140-CEPUD78A-VV411875-56,LIRT,,ADPGSI_AG,,A2140-CEPUD78A-P2P-VV411875-DATA,JITTERSD,,2,,,3,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:A2140-CEPUD78A-VV411875,10.191.99.51,,,,128,,,,10.191.99.51,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:A2140-CETPD--N-VV411882-36,LIRT,,ADPGSI_AG,,A2140-CETPD--N-P2P-VV411882-DATA,JITTERSD,,2,,,3,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:A2140-CETPD--N-VV411882,10.191.99.36,,,,128,,,,10.191.99.36,atricaVirtualRouter
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter64-RT,JITTERSD,,05,,,40,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter64-RTVI,JITTERSD,,05,,,40,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter64-RT,JITTERSD,,05,,,40,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter64-RTVI,JITTERSD,,05,,,40,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter64-RT,JITTERSD,,05,,,40,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter64-RTVI,JITTERSD,,05,,,40,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter64-RT,JITTERSD,,05,,,40,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter64-RTVI,JITTERSD,,05,,,40,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AREVA.ZI:X.LIRT:AREVA-GTWY-MARCOUSSIS-N-12,LIRT,,AREVA,AREVA,ITINERARY description areva-gtwy-marcoussis-n-arevanet-row-t,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.42.65.201,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.42.65.201,cisco
DI:AREVA.ZI:X.LIRT:AREVA-GTWY-MARCOUSSIS-N-4,LIRT,,AREVA,AREVA,ITINERARY description areva-gtwy-marcoussis-n-arevanet-tpc-J,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.42.65.201,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.42.65.201,cisco
DI:AREVA.ZI:X.LIRT:AREVA-GTWY-MARCOUSSIS-N-8,LIRT,,AREVA,AREVA,ITINERARY description areva-gtwy-marcoussis-n-arevanet-us-tp,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.42.65.201,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.42.65.201,cisco
DI:AREVA.ZI:X.LIRT:AREVA-GTWY-MARCOUSSIS-S-12,LIRT,,AREVA,AREVA,ITINERARY description areva-gtwy-marcoussis-s-arevanet-row-t,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,10.43.123.56,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.43.123.56,cisco
DI:AREVA.ZI:X.LIRT:AREVA-GTWY-MARCOUSSIS-S-4,LIRT,,AREVA,AREVA,ITINERARY description areva-gtwy-marcoussis-s-arevanet-tpc-J,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,10.43.123.56,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.43.123.56,cisco
DI:AREVA.ZI:X.LIRT:AREVA-GTWY-MARCOUSSIS-S-8,LIRT,,AREVA,AREVA,ITINERARY description areva-gtwy-marcoussis-s-arevanet-us-tp,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,10.43.123.56,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.43.123.56,cisco
DI:AREVA.ZI:X.LIRT:CFR-STMI-CHUSCLANNEW-4,LIRT,,AREVA,AREVA,areva-cfr-stmi-chusclan-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:CFR-STMI-CHUSCLANNEW,10.45.85.36,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.45.85.36,cisco
DI:AREVA.ZI:X.LIRT:CFR-STMI-CHUSCLANNEW-5,LIRT,,AREVA,AREVA,areva-cfr-stmi-chusclan-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jitt,136,,DI:AREVA.ZI:X.RTCIS:CFR-STMI-CHUSCLANNEW,10.45.85.36,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.45.85.36,cisco
DI:AREVA.ZI:X.LIRT:CFR-VALOGNES1-4,LIRT,,AREVA,AREVA,Areva-cfr-valognes1-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jiti,184,,DI:AREVA.ZI:X.RTONE:CFR-VALOGNES1,10.44.207.228,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.44.207.228,one-access
DI:AREVA.ZI:X.LIRT:EUR-CARQUEFOU1-4,LIRT,,AREVA,AREVA,Areva-eur-carquefou1-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jiti,184,,DI:AREVA.ZI:X.RTONE:EUR-CARQUEFOU1,10.45.123.86,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.45.123.86,one-access
DI:AREVA.ZI:X.LIRT:EUR-CARQUEFOU1-5,LIRT,,AREVA,AREVA,Areva-eur-carquefou1-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jiti,136,,DI:AREVA.ZI:X.RTONE:EUR-CARQUEFOU1,10.45.123.86,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.45.123.86,one-access
DI:AREVA.ZI:X.LIRT:EUR-ECHIROLLES-4,LIRT,,AREVA,,Areva-eur-echirolles-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jiti,184,,DI:AREVA.ZI:X.RTONE:EUR-ECHIROLLES,10.45.73.192,,,10.1.110.6,128,,,,10.45.73.192,one-access
DI:AREVA.ZI:X.LIRT:EUR-ECHIROLLES-5,LIRT,,AREVA,,Areva-eur-echirolles-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jiti,136,,DI:AREVA.ZI:X.RTONE:EUR-ECHIROLLES,10.45.73.192,,,10.1.110.6,128,,,,10.45.73.192,one-access
DI:AREVA.ZI:X.LIRT:NC-BEAUMONTHAG-4,LIRT,,AREVA,AREVA,areva-nc-beaumonthag-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:NC-BEAUMONTHAG,10.48.182.243,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.48.182.243,cisco
DI:AREVA.ZI:X.LIRT:NC-BEAUMONTHAG-5,LIRT,,AREVA,AREVA,areva-nc-beaumonthag-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jitt,136,,DI:AREVA.ZI:X.RTCIS:NC-BEAUMONTHAG,10.48.182.243,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.48.182.243,cisco
DI:AREVA.ZI:X.LIRT:NC-JOHANNESBURG-4,LIRT,,AREVA,AREVA,areva-nc-johannesburg-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:NC-JOHANNESBURG,10.66.40.135,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.66.40.135,cisco
DI:AREVA.ZI:X.LIRT:NC-JOHANNESBURG-5,LIRT,,AREVA,AREVA,areva-nc-johannesburg-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jitt,136,,DI:AREVA.ZI:X.RTCIS:NC-JOHANNESBURG,10.66.40.135,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.66.40.135,cisco
DI:AREVA.ZI:X.LIRT:NC-LAUDUN-N-4,LIRT,,AREVA,,Areva-nc-laudun-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jiti,184,,DI:AREVA.ZI:X.RTONE:NC-LAUDUN-N,10.43.242.16,,,10.1.110.6,128,,,,10.43.242.16,one-access
DI:AREVA.ZI:X.LIRT:NC-NARBONNE-4,LIRT,,AREVA,AREVA,Areva-nc-narbonne-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jiti,184,,DI:AREVA.ZI:X.RTONE:NC-NARBONNE,10.40.225.40,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.40.225.40,one-access
DI:AREVA.ZI:X.LIRT:NC-STPAULLES-4,LIRT,,AREVA,,areva-nc-stpaulles-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:NC-STPAULLES,10.41.194.54,,,10.1.110.6,128,,,,10.41.194.54,cisco
DI:AREVA.ZI:X.LIRT:NC-STPAULLES-5,LIRT,,AREVA,,areva-nc-stpaulles-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jitt,136,,DI:AREVA.ZI:X.RTCIS:NC-STPAULLES,10.41.194.54,,,10.1.110.6,128,,,,10.41.194.54,cisco
DI:AREVA.ZI:X.LIRT:NPF-PIEUX-N-4,LIRT,,AREVA,,areva-npf-pieux-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:NPF-PIEUX-N,10.46.84.224,,,10.1.110.6,128,,,,10.46.84.224,cisco
DI:AREVA.ZI:X.LIRT:NPF-PIEUX-N-5,LIRT,,AREVA,,areva-npf-pieux-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jitt,136,,DI:AREVA.ZI:X.RTCIS:NPF-PIEUX-N,10.46.84.224,,,10.1.110.6,128,,,,10.46.84.224,cisco
DI:AREVA.ZI:X.LIRT:NPF-PIEUX-S-4,LIRT,,AREVA,AREVA,areva-npf-pieux-s-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jitt,184,,DI:AREVA.ZI:X.RTCIS:NPF-PIEUX-S,10.47.72.11,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.47.72.11,cisco
DI:AREVA.ZI:X.LIRT:NPF-PIEUX-S-5,LIRT,,AREVA,AREVA,areva-npf-pieux-s-Jitter64-RTVI,JITTERSD,,40,,,70,30000,saa-jitt,136,,DI:AREVA.ZI:X.RTCIS:NPF-PIEUX-S,10.47.72.11,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.47.72.11,cisco
DI:AREVA.ZI:X.LIRT:TA-CESSON-4,LIRT,,AREVA,AREVA,Areva-ta-cessonsevig-Jitter64-RT,JITTERSD,,40,,,70,30000,saa-jiti,184,,DI:AREVA.ZI:X.RTONE:TA-CESSON,10.42.148.228,,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,10.1.110.6,128,,,,10.42.148.228,one-access
DI:EXP_NE.ZI:X.LIRT:1-7220000,LIRT,,EXP_NE,,TestPerformance-D2,JITTERSD,,3,,,10,30000,saa-jitt,72,,DI:EXP_NE.ZI:X.SWCAT:1,10.239.65.23,,,10.239.65.76,128,,,,10.239.65.23,catalyst
DI:EXP_NE.ZI:X.LIRT:OS904-CESPW011-5-2-62,LIRT,,EXP_NE,EXP_NE,DAUPHINE-RABELAIS1-0022RKG7-B,JITTERDS,,30,,,60,30000,saa-jitt2,B,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CESPW011,10.191.148.186,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CELZS571,,128,,,,10.191.148.186,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-CESPW011-6-1-30,LIRT,,EXP_NE,EXP_NE,DAUPHINE-RABELAIS2-0022RKG5-A,JITTERDS,,30,,,60,30000,saa-jitt2,A,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CESPW011,10.191.148.186,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CELZS571,,128,,,,10.191.148.186,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-CESPW011-6-1-35,LIRT,,EXP_NE,EXP_NE,DAUPHINE-RABELAIS2-0022RKG5-V,JITTERDS,,30,,,60,30000,saa-jitt2,V,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CESPW011,10.191.148.186,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CELZS571,,128,,,,10.191.148.186,MRV
DI:EXP_NE.ZI:X.LIRT:OS904-CESPW011-6-2-62,LIRT,,EXP_NE,EXP_NE,DAUPHINE-RABELAIS2-0022RKG7-B,JITTERDS,,30,,,60,30000,saa-jitt2,B,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CESPW011,10.191.148.186,,DI:EXP_NE.ZI:X.SWOMRV:OS904-CELZS571,,128,,,,10.191.148.186,MRV
